Project.ID,Plant.ID,species,sample.number,sla.mm2.mg,mean.seed.mass.mg,seed.notes,height.mm,width.longest.mm,width.90.from.longest.mm,leaf.area.mm2,leaf.wet.mass.mg,leaf.dry.mass.mg,aboverground.biomass.mg,number.buds,number.flowers,number.seeds,C13.plant.permill,delta.C13.discrimination.permill,C13.notes,root.dry.mass.mg,root.wet.mass.mg,root.volume.less.than.0.5mm.diameter.mm3,root.length.less.than.0.5mm.diameter.mm3,total.root.volume.cm3,total.root.length.cm,number.of.root.tips,root.length.per.volume.cm.m3,root.notes,stem.wet.mass.mg,stem.dry.mass.mg,stem.diameter.1.mm,stem.diameter.2.mm,stem.length
COEX.1,Gilberta tenuifolia.15.C,Gilberta tenuifolia,1,8.913043478,NA,,100,60,30,4.1,NA,0.46,299,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.15.E,Gilberta tenuifolia,1,NA,NA,,90,20,20,6.9,NA,NA,69.8,NA,NA,NA,-31.72362752,24.50088445,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.16.C,Gilberta tenuifolia,1,14.7761194,NA,,100,50,45,9.9,NA,0.67,299.3,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.16.E,Gilberta tenuifolia,1,10.76388889,NA,,90,55,55,6.2,NA,0.576,235.1,NA,NA,NA,-30.66855635,23.38576397,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.2.C,Gilberta tenuifolia,1,31.31313131,NA,,120,37,35,6.2,NA,0.198,236.2,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.2.E,Gilberta tenuifolia,1,21.14485981,NA,,84,80,41,18.1,NA,0.856,400.2,NA,NA,NA,-32.01321236,24.80737616,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.3.C,Gilberta tenuifolia,1,17.25490196,NA,,70,25,15,8.8,NA,0.51,108.5,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.3.E,Gilberta tenuifolia,1,20.3271028,NA,,76,48,44,8.7,NA,0.428,145.8,NA,NA,NA,-30.86863693,23.59704556,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.4.C,Gilberta tenuifolia,1,18.84422111,NA,,52,25,20,7.5,NA,0.398,23.9,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.4.E,Gilberta tenuifolia,1,33.47457627,NA,,68,52,40,7.9,NA,0.236,170.2,NA,NA,NA,-31.8318907,24.61544692,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.5.C,Gilberta tenuifolia,1,19.44444444,NA,,73,55,30,16.8,NA,0.864,165.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.5.E,Gilberta tenuifolia,1,20.99697885,NA,,67,39,28,13.9,NA,0.662,128.7,NA,NA,NA,-32.72227721,25.55861324,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.6.C,Gilberta tenuifolia,1,29.89130435,NA,,38,23,18,5.5,NA,0.184,30.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.6.E,Gilberta tenuifolia,1,31.76470588,NA,,85,39,23,5.4,NA,0.17,139.6,NA,NA,NA,-31.32443761,24.078689,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.7.C,Gilberta tenuifolia,1,21.1038961,NA,,95,45,40,6.5,NA,0.308,104.3,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.7.E,Gilberta tenuifolia,1,23.64016736,NA,,64,35,35,11.3,NA,0.478,174.2,NA,NA,NA,-32.23285558,25.03996516,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.8.C,Gilberta tenuifolia,1,26.38888889,NA,,58,25,25,7.6,NA,0.288,63.4,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.8.E,Gilberta tenuifolia,1,18.52731591,NA,,96,64,48,15.6,NA,0.842,260.6,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
COEX.1,Gilberta tenuifolia.9.C,Gilberta tenuifolia,1,33.42696629,NA,,85,34,30,11.9,NA,0.356,71.3,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA
