unique_id,seed,focal,code,site,treatment
PE_CL_8_41_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_44_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_45_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_48_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_49_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_51_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_52_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_54_TRCY,6,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_55_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_57_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_58_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_59_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_60_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_61_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_62_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_65_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_66_TRCY,10,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_68_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_69_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_71_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_74_TRCY,8,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_75_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_76_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_77_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_78_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_79_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_80_TRCY,4,Trachymene cyanopetala,TRCY,PE,CL
PE_CL_8_81_TRCY,2,Trachymene cyanopetala,TRCY,PE,CL
