plot,treatment,focal,id.focal,seed,year,reserve
2A,0,HYGL,245,2,2017,perenjori
2A,0,HYGL,228,NA,2017,perenjori
7B,1,POMU,28,NA,2017,perenjori
2B,1,POLE,9,NA,2017,perenjori
2A,0,HYGL,349,NA,2017,perenjori
2B,1,HYGL,47,7,2017,perenjori
2B,1,HYGL,82,23,2017,perenjori
3A,0,VERO,17,3,2017,perenjori
2A,0,HYGL,330,2,2017,perenjori
3A,0,HYGL,4,4,2017,perenjori
2A,0,PTGA,1,NA,2017,perenjori
4A,0,GOOC,4,NA,2017,perenjori
7A,0,POMU,30,NA,2017,perenjori
2B,1,HYGL,17,NA,2017,perenjori
2B,1,HYGL,88,41,2017,perenjori
9A,0,PEAI,11,NA,2017,perenjori
4A,0,GOOC,9,NA,2017,perenjori
2A,0,HYGL,145,14,2017,perenjori
2A,0,HYGL,365,6,2017,perenjori
2A,0,PEAI,80,NA,2017,perenjori
2A,0,HYGL,363,NA,2017,perenjori
1B,1,PEAI,500,NA,2017,perenjori
5B,1,POCA,1,NA,2017,perenjori
3B,1,CHPS,3,NA,2017,perenjori
7A,0,POMU,33,NA,2017,perenjori
2A,0,PEAI,79,NA,2017,perenjori
2A,0,HYGL,389,NA,2017,perenjori
2A,0,PEAI,55,NA,2017,perenjori
7A,0,POMU,22,NA,2017,perenjori
9B,1,CAER,75,NA,2017,perenjori
2A,0,HYGL,314,7,2017,perenjori
7A,0,POMU,29,NA,2017,perenjori
2A,0,HYGL,323,11,2017,perenjori
2B,1,HYGL,67,7,2017,perenjori
2A,0,HYGL,388,NA,2017,perenjori
2B,1,HYGL,77,51,2017,perenjori
2A,0,PEAI,63,NA,2017,perenjori
10B,1,PEAI,4,4,2017,perenjori
2A,0,HYGL,284,18,2017,perenjori
10B,1,VERO,41,NA,2017,perenjori
3B,1,UNKNOWN,4,NA,2017,perenjori
2A,0,HYGL,142,6,2017,perenjori
6A,0,POMU,7,NA,2017,perenjori
2B,1,HYGL,85,30,2017,perenjori
2B,1,HYGL,60,43,2017,perenjori
7B,1,PEAI,15,0,2017,perenjori
2B,1,VERO,58,11,2017,perenjori
2A,0,HYGL,372,15,2017,perenjori
2A,0,HYGL,377,10,2017,perenjori
2A,0,HYGL,153,5,2017,perenjori
6A,0,PTGA,2,2,2017,perenjori
5A,0,UNKNOWN,1,NA,2017,perenjori
9A,0,PEAI,9,7,2017,perenjori
2A,0,HYGL,172,7,2017,perenjori
2A,0,HYGL,317,3,2017,perenjori
10B,1,LEVENHOOKIA?,1,NA,2017,perenjori
7B,1,PEAI,8,0,2017,perenjori
2A,0,PEAI,34,12,2017,perenjori
2A,0,HYGL,253,10,2017,perenjori
2A,0,HYGL,374,10,2017,perenjori
1B,1,PEAI,162,NA,2017,perenjori
6B,1,PEAI,88,NA,2017,perenjori
2A,0,HYGL,159,NA,2017,perenjori
3A,0,UNKNOWN,G1,NA,2017,perenjori
7A,0,POMU,55,NA,2017,perenjori
3A,0,UNKNOWN,F10,4,2017,perenjori
7A,0,POMU,32,NA,2017,perenjori
2B,1,HYGL,89,29,2017,perenjori
2A,0,HYGL,149,19,2017,perenjori
2A,0,HYGL,318,11,2017,perenjori
2A,0,HYGL,366,13,2017,perenjori
3A,0,UNKNOWN,31,NA,2017,perenjori
7A,0,CHPS,13,NA,2017,perenjori
3A,0,CRAS,9,NA,2017,perenjori
3A,0,CRAS,9,NA,2017,perenjori
1A,0,PEAI,55,13,2017,perenjori
4A,0,GOOC,1,NA,2017,perenjori
2B,1,HYGL,49,7,2017,perenjori
2A,0,HYGL,201,7,2017,perenjori
1B,1,PEAI,192,6,2017,perenjori
6B,1,PEAI,106,NA,2017,perenjori
2A,0,PLDE,20,2,2017,perenjori
8A,0,PTGA,24,13,2017,perenjori
2A,0,PEAI,47,NA,2017,perenjori
2A,0,HYGL,364,NA,2017,perenjori
2A,0,HYGL,232,0,2017,perenjori
6B,1,PTGA,13,3,2017,perenjori
3A,0,VERO,65,NA,2017,perenjori
2A,0,HYGL,257,2,2017,perenjori
2A,0,HYGL,152,13,2017,perenjori
2B,1,HYGL,53,53,2017,perenjori
2A,0,HYGL,229,NA,2017,perenjori
3A,0,CHPS,38,NA,2017,perenjori
2A,0,HYGL,177,0,2017,perenjori
2B,1,HYGL,7,0,2017,perenjori
2A,0,PEAI,57,NA,2017,perenjori
10B,1,PEAI,2,0,2017,perenjori
2B,1,HYGL,12,6,2017,perenjori
6A,0,PEAI,1,NA,2017,perenjori
2B,1,HYGL,41,23,2017,perenjori
2A,0,HYGL,260,2,2017,perenjori
7B,1,VERO,71,NA,2017,perenjori
